paper_id,title,authors,venue,year,pdf_path,pdf_url,topics
2605.21451v1,Approximation Theory for Neural Networks: Old and New,Soumendu Sundar Mukherjee; Himasish Talukdar,"31 pages, 4 figures",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21451v1_Approximation Theory for Neural Networks Old and N.pdf,https://arxiv.org/pdf/2605.21451v1,cs.LG; cond-mat.dis-nn; cs.AI; cs.NE
2605.21453v1,Quality and Security Signals in AI-Generated Python Refactoring Pull Requests,Mohamed Almukhtar; Anwar Ghammam; Hua Ming,cs.SE,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21453v1_Quality and Security Signals in AI-Generated Pytho.pdf,https://arxiv.org/pdf/2605.21453v1,cs.SE; cs.AI
2605.21458v1,Mind the Sim-to-Real Gap & Think Like a Scientist,Harsh Parikh; Gabriel Levin-Konigsberg; Dominique Perrault-Joncas; Alexander Volfovsky,cs.AI,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21458v1_Mind the Sim-to-Real Gap  Think Like a Scientist.pdf,https://arxiv.org/pdf/2605.21458v1,cs.AI; cs.LG; stat.ME
2605.21460v1,HITL-D: Human In The Loop Diffusion Assisted Shared Control,Riley Zilka; Sergey Khlynovskiy; Allie Wang; Martin Jagersand,Accepted for presentation at ICRA 2026,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21460v1_HITL-D Human In The Loop Diffusion Assisted Shared.pdf,https://arxiv.org/pdf/2605.21460v1,cs.RO; cs.AI; cs.HC
2605.21463v1,Mem-$π$: Adaptive Memory through Learning When and What to Generate,Xiaoqiang Wang; Chao Wang; Hadi Nekoei; Christopher Pal; Alexandre Lacoste; Spandana Gella; Bang Liu; Perouz Taslakian,Work in progress,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21463v1_Mem-π Adaptive Memory through Learning When and Wh.pdf,https://arxiv.org/pdf/2605.21463v1,cs.CL; cs.AI
2605.21470v1,Agent JIT Compilation for Latency-Optimizing Web Agent Planning and Scheduling,Caleb Winston; Ron Yifeng Wang; Azalia Mirhoseini; Christos Kozyrakis,Accepted at ICML 2026,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21470v1_Agent JIT Compilation for Latency-Optimizing Web A.pdf,https://arxiv.org/pdf/2605.21470v1,cs.LG; cs.AI
2605.21479v1,WikiVQABench: A Knowledge-Grounded Visual Question Answering Benchmark from Wikipedia and Wikidata,Basel Shbita; Pengyuan Li; Anna Lisa Gentile,cs.CV,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21479v1_WikiVQABench A Knowledge-Grounded Visual Question .pdf,https://arxiv.org/pdf/2605.21479v1,cs.CV; cs.AI
2605.21481v1,AiraXiv: An AI-Driven Open-Access Platform for Human and AI Scientists,Junshu Pan; Panzhong Lu; Yixuan Weng; Qiyao Sun; Fang Guo; Zijie Yang; Qiji Zhou; Yue Zhang,cs.AI,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21481v1_AiraXiv An AI-Driven Open-Access Platform for Huma.pdf,https://arxiv.org/pdf/2605.21481v1,cs.AI; cs.CL; cs.LG
2605.21482v1,DeepWeb-Bench: A Deep Research Benchmark Demanding Massive Cross-Source Evidence and Long-Horizon Derivation,Sixiong Xie; Zhuofan Shi; Haiyang Shen; Jiuzheng Wang; Siqi Zhong; Mugeng Liu; Chongyang Pan; Peilun Jia; Baoqing Sun; Xiang Jing; Yun Ma,"Work in Progress. 27 pages, 10 figures, 4 tables. Project page: https://sixiongxie1001-dot.github.io/deep-research-benchmark2.0",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21482v1_DeepWeb-Bench A Deep Research Benchmark Demanding .pdf,https://arxiv.org/pdf/2605.21482v1,cs.AI
2605.21486v1,Quantifying Hyperparameter Transfer and the Importance of Embedding Layer Learning Rate,Dayal Singh Kalra; Maissam Barkeshli,"10+28 pages, 5+17 figures",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21486v1_Quantifying Hyperparameter Transfer and the Import.pdf,https://arxiv.org/pdf/2605.21486v1,cs.LG; cond-mat.dis-nn; cs.AI; stat.ML
2605.21489v1,Variance Reduction for Expectations with Diffusion Teachers,Jesse Bettencourt; Xindi Wu; Matan Atzmon; James Lucas; Jonathan Lorraine,Project page: https://research.nvidia.com/labs/sil/projects/CARV/,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21489v1_Variance Reduction for Expectations with Diffusion.pdf,https://arxiv.org/pdf/2605.21489v1,cs.LG; cs.AI; cs.CV; stat.CO; stat.ML
